Date,윤석열,이재명,안철수,심상정,허경영,김경재,김민찬,김재연,오준호,옥은호,이경희,이백윤,조원진
2022.3.5 3h,1303,1586,187,304,30,0,0,0,1,0,0,2,1
2022.3.5 4h,7510,10290,1040,1699,307,8,0,13,18,0,1,37,110
2022.3.5 5h,6616,9836,804,1189,294,3,0,12,22,1,0,50,144
2022.3.5 6h,7183,9395,948,988,234,2,0,20,8,8,0,25,113
2022.3.5 7h,7265,9053,1066,816,292,0,0,3,15,1,2,21,74
2022.3.5 8h,6736,8670,1014,773,343,2,1,3,7,0,0,29,78
2022.3.5 9h,6087,8597,862,782,260,1,0,7,9,1,0,23,51
2022.3.5 10h,6063,7807,883,731,254,6,0,7,15,2,0,14,38
2022.3.5 11h,5511,8044,793,657,224,4,0,6,11,0,2,15,35
2022.3.5 12h,5317,7402,863,723,180,1,0,4,13,2,0,19,28
2022.3.5 13h,5003,7397,713,583,163,6,0,3,13,5,0,41,57
2022.3.5 14h,4970,6817,585,501,124,0,0,4,7,3,0,15,69
2022.3.5 15h,4506,6367,468,410,105,2,0,6,3,1,0,10,24
2022.3.5 16h,3325,4452,324,335,92,2,1,6,6,7,0,12,19
2022.3.5 17h,2459,2795,232,234,57,1,0,4,5,2,0,7,4
2022.3.5 18h,1517,1889,196,147,36,1,0,3,12,0,0,11,7
2022.3.5 19h,1151,1439,129,86,19,2,0,2,3,1,1,3,10
2022.3.5 20h,1367,1752,145,74,25,0,0,2,3,0,0,5,9
2022.3.5 21h,2049,2668,229,81,22,0,0,2,2,0,0,2,16
2022.3.5 22h,3015,4111,325,105,25,1,0,2,1,0,0,1,34
2022.3.5 23h,4018,5408,462,187,48,1,0,11,13,0,0,15,58
2022.3.6 0h,5423,7034,533,318,120,1,1,15,14,1,0,11,68
2022.3.6 1h,5404,7685,491,342,127,0,1,13,11,3,3,11,69
2022.3.6 2h,5687,7541,512,390,143,2,1,8,11,3,0,15,84
2022.3.6 3h,6446,7464,566,669,152,2,1,5,4,0,0,9,103
2022.3.6 4h,6105,7166,519,655,144,0,0,7,5,0,0,4,45
2022.3.6 5h,6102,7532,511,536,126,2,0,6,4,1,0,12,42
2022.3.6 6h,7306,9747,621,596,160,1,0,11,13,0,1,7,54
2022.3.6 7h,6736,9380,688,606,169,2,1,7,3,0,1,10,32
2022.3.6 8h,6531,8973,687,656,159,1,1,14,19,0,0,16,37
2022.3.6 9h,6143,8599,1353,515,148,1,0,37,14,0,0,48,35
2022.3.6 10h,6760,9065,1645,516,194,1,0,77,13,0,0,112,56
2022.3.6 11h,6836,9032,1209,485,227,2,0,58,13,0,0,91,54
2022.3.6 12h,6308,8990,1115,430,317,0,0,24,4,3,0,44,66
2022.3.6 13h,8583,9256,928,363,383,0,0,27,9,1,0,19,27
2022.3.6 14h,13923,12573,779,266,524,0,0,11,5,0,0,15,25
2022.3.6 15h,12300,11115,761,190,674,2,1,3,3,1,0,9,20
2022.3.6 16h,7278,6782,477,162,506,0,0,6,2,0,0,13,9
2022.3.6 17h,4333,4130,301,84,196,0,0,7,1,0,0,7,5
2022.3.6 18h,3133,2920,197,186,87,0,0,3,1,2,0,7,3
2022.3.6 19h,2341,2300,184,87,72,0,0,8,0,0,0,1,2
2022.3.6 20h,2651,2663,147,65,66,0,0,4,0,0,0,2,2
2022.3.6 21h,3891,3670,256,77,163,0,0,2,0,0,0,4,8
2022.3.6 22h,6901,6149,451,140,347,1,0,6,1,0,0,6,9
2022.3.6 23h,9021,8003,610,194,370,0,3,2,1,1,0,0,16
2022.3.7 0h,10731,9685,643,179,346,0,1,22,6,0,0,2,16
2022.3.7 1h,11578,9509,447,156,406,0,0,20,4,0,2,4,24
2022.3.7 2h,11551,10373,580,155,383,0,0,6,3,2,0,6,16
2022.3.7 3h,11425,10504,574,176,697,0,0,11,6,0,0,13,18
2022.3.7 4h,10104,11596,512,229,675,0,0,43,2,2,1,22,10
2022.3.7 5h,9086,11032,381,122,729,0,0,13,2,5,0,12,9
2022.3.7 6h,9015,11428,479,130,1327,1,1,14,5,0,2,3,27
2022.3.7 7h,9161,10089,476,100,1254,0,0,8,6,2,0,8,15
2022.3.7 8h,9190,9653,485,129,1168,1,0,8,1,2,0,6,10
2022.3.7 9h,9066,9157,525,157,1130,2,0,5,7,2,0,4,14
2022.3.7 10h,8608,8168,497,179,1046,2,0,43,11,1,1,44,13
2022.3.7 11h,8362,10007,390,167,843,0,0,28,8,0,1,23,8
2022.3.7 12h,8267,11638,360,141,749,0,0,13,4,2,1,8,5
2022.3.7 13h,8304,11817,312,153,755,0,0,5,5,5,0,6,7
2022.3.7 14h,7990,10802,292,115,628,0,1,3,2,1,3,6,12
2022.3.7 15h,5631,7913,292,100,511,0,2,7,3,2,0,4,12
2022.3.7 16h,3538,4378,217,50,296,0,1,9,0,0,1,5,5
2022.3.7 17h,2217,3019,144,46,160,0,0,11,0,1,0,11,8
2022.3.7 18h,1606,2314,70,24,138,0,0,4,0,1,0,4,4
2022.3.7 19h,1626,2373,63,14,77,0,0,2,0,0,0,0,2
2022.3.7 20h,1812,2690,74,17,48,0,0,3,0,2,8,1,0
2022.3.7 21h,2817,4087,105,28,86,0,0,2,1,0,0,1,13
2022.3.7 22h,4566,6735,195,43,224,1,0,11,3,4,0,4,11
2022.3.7 23h,5750,8385,199,60,328,0,1,13,1,2,0,1,6
2022.3.8 0h,6311,8931,249,109,453,2,0,16,1,12,0,5,4
2022.3.8 1h,6062,9453,288,138,614,0,0,4,4,4,0,6,7
2022.3.8 2h,6419,11151,399,161,656,1,0,1,1,2,0,2,7
2022.3.8 3h,7338,10383,378,245,771,1,1,16,3,1,0,9,15
