,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Date,윤석열,이재명,안철수,심상정,허경영,김경재,김민찬,김재연,오준호,옥은호,이경희,이백윤,조원진
1,2022-03-05-03,1303,1586,187,304,30,0,0,0,1,0,0,2,1
2,2022-03-05-04,7510,10290,1040,1699,307,8,0,13,18,0,1,37,110
3,2022-03-05-05,6616,9836,804,1189,294,3,0,12,22,1,0,50,144
4,2022-03-05-06,7183,9395,948,988,234,2,0,20,8,8,0,25,113
5,2022-03-05-07,7265,9053,1066,816,292,0,0,3,15,1,2,21,74
6,2022-03-05-08,6736,8670,1014,773,343,2,1,3,7,0,0,29,78
7,2022-03-05-09,6087,8597,862,782,260,1,0,7,9,1,0,23,51
8,2022-03-05-10,6063,7807,883,731,254,6,0,7,15,2,0,14,38
9,2022-03-05-11,5511,8044,793,657,224,4,0,6,11,0,2,15,35
10,2022-03-05-12,5317,7402,863,723,180,1,0,4,13,2,0,19,28
11,2022-03-05-13,5003,7397,713,583,163,6,0,3,13,5,0,41,57
12,2022-03-05-14,4970,6817,585,501,124,0,0,4,7,3,0,15,69
13,2022-03-05-15,4506,6367,468,410,105,2,0,6,3,1,0,10,24
14,2022-03-05-16,3325,4452,324,335,92,2,1,6,6,7,0,12,19
15,2022-03-05-17,2459,2795,232,234,57,1,0,4,5,2,0,7,4
16,2022-03-05-18,1517,1889,196,147,36,1,0,3,12,0,0,11,7
17,2022-03-05-19,1151,1439,129,86,19,2,0,2,3,1,1,3,10
18,2022-03-05-20,1367,1752,145,74,25,0,0,2,3,0,0,5,9
19,2022-03-05-21,2049,2668,229,81,22,0,0,2,2,0,0,2,16
20,2022-03-05-22,3015,4111,325,105,25,1,0,2,1,0,0,1,34
21,2022-03-05-23,4018,5408,462,187,48,1,0,11,13,0,0,15,58
22,2022-03-06-00,5423,7034,533,318,120,1,1,15,14,1,0,11,68
23,2022-03-06-01,5404,7685,491,342,127,0,1,13,11,3,3,11,69
24,2022-03-06-02,5687,7541,512,390,143,2,1,8,11,3,0,15,84
25,2022-03-06-03,6446,7464,566,669,152,2,1,5,4,0,0,9,103
26,2022-03-06-04,6105,7166,519,655,144,0,0,7,5,0,0,4,45
27,2022-03-06-05,6102,7532,511,536,126,2,0,6,4,1,0,12,42
28,2022-03-06-06,7306,9747,621,596,160,1,0,11,13,0,1,7,54
29,2022-03-06-07,6736,9380,688,606,169,2,1,7,3,0,1,10,32
30,2022-03-06-08,6531,8973,687,656,159,1,1,14,19,0,0,16,37
31,2022-03-06-09,6143,8599,1353,515,148,1,0,37,14,0,0,48,35
32,2022-03-06-10,6760,9065,1645,516,194,1,0,77,13,0,0,112,56
33,2022-03-06-11,6836,9032,1209,485,227,2,0,58,13,0,0,91,54
34,2022-03-06-12,6308,8990,1115,430,317,0,0,24,4,3,0,44,66
35,2022-03-06-13,8583,9256,928,363,383,0,0,27,9,1,0,19,27
36,2022-03-06-14,13923,12573,779,266,524,0,0,11,5,0,0,15,25
37,2022-03-06-15,12300,11115,761,190,674,2,1,3,3,1,0,9,20
38,2022-03-06-16,7278,6782,477,162,506,0,0,6,2,0,0,13,9
39,2022-03-06-17,4333,4130,301,84,196,0,0,7,1,0,0,7,5
40,2022-03-06-18,3133,2920,197,186,87,0,0,3,1,2,0,7,3
41,2022-03-06-19,2341,2300,184,87,72,0,0,8,0,0,0,1,2
42,2022-03-06-20,2651,2663,147,65,66,0,0,4,0,0,0,2,2
43,2022-03-06-21,3891,3670,256,77,163,0,0,2,0,0,0,4,8
44,2022-03-06-22,6901,6149,451,140,347,1,0,6,1,0,0,6,9
45,2022-03-06-23,9021,8003,610,194,370,0,3,2,1,1,0,0,16
46,2022-03-07-00,10731,9685,643,179,346,0,1,22,6,0,0,2,16
47,2022-03-07-01,11578,9509,447,156,406,0,0,20,4,0,2,4,24
48,2022-03-07-02,11551,10373,580,155,383,0,0,6,3,2,0,6,16
49,2022-03-07-03,11425,10504,574,176,697,0,0,11,6,0,0,13,18
50,2022-03-07-04,10104,11596,512,229,675,0,0,43,2,2,1,22,10
51,2022-03-07-05,9086,11032,381,122,729,0,0,13,2,5,0,12,9
52,2022-03-07-06,9015,11428,479,130,1327,1,1,14,5,0,2,3,27
53,2022-03-07-07,9161,10089,476,100,1254,0,0,8,6,2,0,8,15
54,2022-03-07-08,9190,9653,485,129,1168,1,0,8,1,2,0,6,10
55,2022-03-07-09,9066,9157,525,157,1130,2,0,5,7,2,0,4,14
56,2022-03-07-10,8608,8168,497,179,1046,2,0,43,11,1,1,44,13
57,2022-03-07-11,8362,10007,390,167,843,0,0,28,8,0,1,23,8
58,2022-03-07-12,8267,11638,360,141,749,0,0,13,4,2,1,8,5
59,2022-03-07-13,8304,11817,312,153,755,0,0,5,5,5,0,6,7
60,2022-03-07-14,7990,10802,292,115,628,0,1,3,2,1,3,6,12
61,2022-03-07-15,5631,7913,292,100,511,0,2,7,3,2,0,4,12
62,2022-03-07-16,3538,4378,217,50,296,0,1,9,0,0,1,5,5
63,2022-03-07-17,2217,3019,144,46,160,0,0,11,0,1,0,11,8
64,2022-03-07-18,1606,2314,70,24,138,0,0,4,0,1,0,4,4
65,2022-03-07-19,1626,2373,63,14,77,0,0,2,0,0,0,0,2
66,2022-03-07-20,1812,2690,74,17,48,0,0,3,0,2,8,1,0
67,2022-03-07-21,2817,4087,105,28,86,0,0,2,1,0,0,1,13
68,2022-03-07-22,4566,6735,195,43,224,1,0,11,3,4,0,4,11
69,2022-03-07-23,5750,8385,199,60,328,0,1,13,1,2,0,1,6
70,2022-03-08-00,6311,8931,249,109,453,2,0,16,1,12,0,5,4
71,2022-03-08-01,6062,9453,288,138,614,0,0,4,4,4,0,6,7
72,2022-03-08-02,6419,11151,399,161,656,1,0,1,1,2,0,2,7
73,2022-03-08-03,7338,10383,378,245,771,1,1,16,3,1,0,9,15
74,2022-03-08-04,8269,10019,343,159,816,0,0,14,7,2,0,9,11
75,2022-03-08-05,7716,10166,372,297,719,0,0,13,6,3,1,5,40
76,2022-03-08-06,8197,9544,377,254,1076,1,1,15,4,1,0,4,42
77,2022-03-08-07,8730,9093,442,423,1174,0,0,21,4,2,1,5,23
78,2022-03-08-08,9013,8991,543,389,1411,0,0,10,3,7,1,3,20
79,2022-03-08-09,9295,8953,862,387,1140,0,2,10,3,2,0,3,25
80,2022-03-08-10,8705,8565,801,642,1015,0,0,12,0,2,0,5,18
81,2022-03-08-11,9552,9554,880,565,940,0,0,28,2,1,0,6,58
